2021-12-25 16:26:48,706 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 10848 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 16:26:48,708 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 16:26:49,259 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 16:26:49,262 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 16:26:49,295 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 21ms. Found 0 Redis repository interfaces.
2021-12-25 16:26:51,133 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 16:26:51,788 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.475 seconds (JVM running for 4.557)
2021-12-25 16:26:53,177 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-12-25 16:28:39,565 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 4524 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 16:28:39,567 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 16:28:40,246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 16:28:40,249 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 16:28:40,282 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2021-12-25 16:28:41,801 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 16:28:42,431 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.321 seconds (JVM running for 4.26)
2021-12-25 16:28:42,721 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-12-25 16:31:50,078 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 13716 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 16:31:50,080 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 16:31:50,653 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 16:31:50,656 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 16:31:50,691 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2021-12-25 16:31:52,331 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 16:31:52,944 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.332 seconds (JVM running for 4.302)
2021-12-25 16:31:53,195 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-12-25 16:44:33,069 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 17104 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 16:44:33,071 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 16:44:33,676 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 16:44:33,678 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 16:44:33,710 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2021-12-25 16:44:35,314 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 16:44:35,927 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.311 seconds (JVM running for 4.303)
2021-12-25 16:44:36,167 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-12-25 16:45:33,717 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 5076 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 16:45:33,718 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 16:45:34,293 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 16:45:34,295 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 16:45:34,330 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 21ms. Found 0 Redis repository interfaces.
2021-12-25 16:45:35,803 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 16:45:36,414 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.128 seconds (JVM running for 4.105)
2021-12-25 16:45:36,656 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-12-25 16:50:01,899 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 16484 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 16:50:01,900 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 16:50:02,457 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 16:50:02,459 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 16:50:02,493 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2021-12-25 16:50:04,036 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 16:50:04,654 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.207 seconds (JVM running for 4.22)
2021-12-25 16:50:04,915 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2021-12-25 23:57:29,256 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 55 - Starting BlogServiceConsumerApplicationTests on DESKTOP-6ED7KPQ with PID 19700 (started by Administrator in D:\javaspace\Blog\blog_spring\blog-service-consumer)
2021-12-25 23:57:29,258 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 651 - No active profile set, falling back to default profiles: default
2021-12-25 23:57:29,946 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-25 23:57:29,955 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-25 23:57:29,995 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2021-12-25 23:57:31,693 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-12-25 23:57:32,415 [main] INFO  c.k.b.s.c.BlogServiceConsumerApplicationTests 61 - Started BlogServiceConsumerApplicationTests in 3.681 seconds (JVM running for 4.855)
